id_pessoa;nome_completo;cpf;data_nascimento;sexo;sigla_orgao
83;Pedro Ribeiro Teixeira;71397187093;1995-09-06;M;DGPC
84;Patrícia Oliveira Rocha;01704622697;1988-08-05;F;RETOMADA
85;Eduardo Silva Souza;47868633786;1986-01-20;M;SES
86;Lucas Souza Pereira;73830284306;1983-08-11;M;UEG
87;Marcelo Cardoso Pereira;87056856640;1968-05-21;M;SEAPA
88;Fernando Lima Costa;35175183010;1979-01-31;M;RETOMADA
89;André Santos Dias;39363854671;1996-10-30;M;SEDS
90;Daniel Lima Rodrigues;04899642300;1984-08-05;M;VICEGOV
91;Fernanda Teixeira Cardoso;08010062367;1961-02-05;F;SES
92;João Dias Gomes;84086211815;1968-05-11;M;GOIASTURISMO
93;Carolina Oliveira Cardoso;01666870064;1970-05-17;F;SSP
94;Marina Teixeira Nascimento;02503926150;1981-11-06;F;PM
95;Gustavo Nascimento Moreira;96504773572;2004-08-12;M;RETOMADA
96;André Araújo Ribeiro;51104754150;1966-11-20;M;SSP
97;Tatiane Araújo Silva;46618398207;1989-02-26;F;PM
98;Juliana Lima Cardoso;79937124085;1990-07-02;F;JUCEG
99;Fernando Ribeiro Costa;79356465118;2005-08-02;M;FAPEG
100;Rafael Cardoso Rodrigues;66179796807;2000-06-13;M;SEEL
101;Letícia Ribeiro Martins;10143888994;1974-10-30;F;SECAMI
102;Juliana Ribeiro Barbosa;38757177597;1961-01-10;F;SEAPA
103;Camila Araújo Cardoso;22660937974;1993-07-15;F;RETOMADA
104;Carolina Barbosa Teixeira;59696915500;1996-01-29;F;SEDF
105;Amanda Rodrigues Nascimento;66278282780;1980-11-29;F;DGPC
106;Beatriz Martins Dias;21903404380;2003-03-26;F;CASACIVIL
107;Gabriela Almeida Martins;13407451784;1965-07-13;F;GOIASTURISMO
108;Amanda Teixeira Ferreira;54494812684;1960-04-26;F;SEINFRA
109;Larissa Oliveira Cardoso;16845775940;1955-03-23;F;SSP
110;Daniel Barbosa Ribeiro;00170127753;1955-01-23;M;ABC
111;Bianca Lima Martins;11037129342;2001-08-08;F;SECAMI
112;Fernanda Araújo Rodrigues;21890927520;1974-02-11;F;SES
113;Rafael Moreira Oliveira;38999404315;2001-06-13;M;GOIASPREV
114;Marina Ribeiro Rodrigues;69658271065;1961-01-21;F;CGE
115;Rafael Oliveira Ribeiro;18328569175;1982-10-29;M;ABC
116;Carlos Silva Ferreira;02758842521;1966-05-22;M;SEINFRA
117;Rodrigo Rocha Ferreira;52419138074;1958-12-14;M;CGE
118;Juliana Oliveira Nascimento;51802380647;1961-03-08;F;SEMAD
119;Rodrigo Carvalho Nascimento;73832060375;2003-08-02;M;AGR
120;Mariana Souza Gomes;86571918226;1990-05-19;F;DETRAN
121;Lucas Rodrigues Nascimento;12127756193;2003-01-30;M;AGR
122;André Lima Araújo;68044206752;2004-11-16;M;AGRODEFESA
123;Daniel Rocha Gomes;10137215193;1958-10-31;M;SEMAD
124;Marina Rodrigues Souza;99934768704;1960-06-21;F;SSP
125;Marina Rocha Dias;56420593000;1980-03-15;F;ECONOMIA
126;Patrícia Ferreira Almeida;39559059939;1967-10-01;F;UEG
127;Ana Ribeiro Moreira;32525002997;1967-09-16;F;DGPP
128;Carolina Ribeiro Ferreira;89539264405;1966-06-04;F;SEDF
129;Bianca Oliveira Gomes;55215704384;1977-05-21;F;DETRAN
130;Eduardo Barbosa Nascimento;32710405407;1964-05-24;M;DETRAN
131;Fernanda Souza Rodrigues;53368844482;1976-04-23;F;CBM
132;João Almeida Ferreira;41714677486;1963-03-06;M;SEDS
133;Pedro Cardoso Santos;15869380618;2001-11-18;M;SEEL
134;Carlos Martins Ferreira;23320616307;1968-04-07;M;GOIASPREV
135;Mariana Pereira Rodrigues;29991191437;2003-01-20;F;AGR
136;Ana Araújo Ribeiro;30745054439;1980-02-25;F;GOINFRA
137;Bianca Barbosa Teixeira;50821486217;2002-01-13;F;UEG
138;Carolina Santos Silva;35797279827;1986-05-18;F;AGR
139;Carolina Pereira Teixeira;00722903405;1982-05-28;F;SEINFRA
140;Gabriela Moreira Nascimento;94417154503;1979-11-03;F;SERINT
141;Juliana Pereira Araújo;60993538797;1987-03-01;F;EMATER
142;Gustavo Lima Ribeiro;65549471752;1959-10-25;M;SEDUC
143;Beatriz Rocha Martins;25217525096;1955-06-04;F;SECAMI
144;Bruno Almeida Araújo;05830033542;1982-12-31;M;DGPC
145;Gustavo Barbosa Carvalho;32603323083;2000-04-09;M;PM
146;Larissa Araújo Santos;84723046127;2001-09-05;F;SEINFRA
147;Tatiane Dias Almeida;56420873711;1984-08-29;F;GOIASTURISMO
148;Larissa Souza Rodrigues;20455611009;1955-11-13;F;DGPC
149;Juliana Araújo Dias;62120216940;1998-04-21;F;UEG
150;Carolina Ribeiro Silva;89935889106;1993-10-31;F;GOIASTURISMO
151;Camila Ribeiro Gomes;08386631767;1994-11-07;F;UEG
152;Thiago Nascimento Moreira;48837550375;1995-10-09;M;JUCEG
153;Bianca Santos Souza;27261493325;1965-10-31;F;SECULT
154;Bruno Souza Rocha;69782922145;1989-10-03;M;GOIASPREV
155;Tatiane Teixeira Ribeiro;83339452288;2000-03-16;F;SEDS
156;João Araújo Rodrigues;00342442040;1981-06-24;M;SECOM
157;Bianca Cardoso Souza;66658004315;1994-10-01;F;VICEGOV
158;Fernando Souza Martins;48422940515;1996-11-01;M;SES
159;Thiago Dias Ferreira;68861533582;1984-09-13;M;SIC
160;Beatriz Santos Pereira;48408588702;1998-09-03;F;SEAD
161;Eduardo Cardoso Pereira;13861207583;1958-05-26;M;SSP
162;Fernando Cardoso Santos;80919015859;1964-07-09;M;CASACIVIL
163;Letícia Teixeira Costa;24508821030;1955-06-14;F;UEG
164;Camila Santos Almeida;90878141430;1963-10-23;F;FAPEG
165;Amanda Cardoso Costa;92995562026;1983-02-06;F;GOIASTURISMO
166;Marcelo Nascimento Oliveira;42834110867;1957-10-19;M;SEDUC
167;Fernanda Martins Teixeira;81658039211;2001-02-15;F;DGPC
168;Bruno Carvalho Pereira;77005184408;2003-11-02;M;UEG
169;Marina Nascimento Silva;82723184315;1968-06-24;F;SEDF
170;Ana Lima Souza;29922809257;1960-01-07;F;PM
171;Eduardo Pereira Moreira;29298425716;1961-03-05;M;VICEGOV
172;Felipe Teixeira Dias;11729806830;1992-09-27;M;SIC
173;Felipe Oliveira Ribeiro;98643009890;1965-07-28;M;DPE-GO
174;Amanda Gomes Pereira;36887258838;1998-05-26;F;SERINT
175;Pedro Araújo Cardoso;01279611430;1974-11-23;M;SIC
176;Camila Souza Moreira;88392053060;1969-02-15;F;SSP
177;Patrícia Gomes Lima;93769042654;2000-06-01;F;CBM
178;Thiago Ribeiro Barbosa;79071416305;1975-08-18;M;SECTI
179;Patrícia Almeida Nascimento;42373334348;1975-07-25;F;FAPEG
180;Larissa Rocha Gomes;72846392021;2002-03-02;F;ABC
181;Fernando Rocha Santos;55942843465;1997-04-15;M;JUCEG
182;Eduardo Santos Costa;38663227043;1970-11-05;M;SEEL
183;Lucas Gomes Dias;17545588444;1985-11-15;M;PGE
184;Marina Oliveira Pereira;94722569967;1991-04-25;F;DETRAN
185;Beatriz Ferreira Almeida;02341326129;1963-07-29;F;DETRAN
186;Camila Lima Ribeiro;72282005511;1997-09-19;F;SEMAD
187;Marina Carvalho Dias;83174564204;1982-03-27;F;CGE
188;Thiago Silva Rocha;53686632691;1988-12-11;M;VICEGOV
189;Mariana Moreira Martins;97497350218;1959-06-15;F;SEDS
190;Juliana Barbosa Carvalho;70512046107;2003-09-25;F;SGG
191;Rodrigo Araújo Costa;52088147497;1972-10-29;M;SIC
192;João Rocha Barbosa;92513271904;1985-05-12;M;ECONOMIA
193;Patrícia Rodrigues Costa;07784873930;1971-09-29;F;SEDS
194;Ana Moreira Dias;62095935187;2003-05-09;F;RETOMADA
195;Eduardo Rodrigues Almeida;03173109686;1998-12-14;M;DPE-GO
196;Gustavo Teixeira Pereira;50948014148;1974-05-15;M;DPE-GO
197;Thiago Moreira Rocha;57612286882;1985-04-12;M;PM
198;Fernando Teixeira Gomes;57760049005;2001-06-09;M;DGPC
199;João Martins Carvalho;22459334435;1963-03-31;M;UEG
200;Mariana Souza Carvalho;56613906026;1982-05-06;F;DPE-GO
201;Fernando Costa Pereira;22517908613;1978-07-22;M;SSP
202;Lucas Oliveira Costa;65911665565;1972-02-02;M;SECTI
203;Fernanda Oliveira Rodrigues;03924051488;1995-05-18;F;SGG
204;Fernando Rocha Dias;04204394043;1996-09-17;M;CGE
205;Pedro Almeida Teixeira;78003845785;1990-04-17;M;PM
206;Gustavo Araújo Rodrigues;16893639244;1993-04-05;M;SEAPA
207;Fernando Rodrigues Cardoso;92518812512;1968-01-21;M;PGE
208;Amanda Rocha Moreira;39330517200;2000-01-25;F;GOIASPREV
209;Beatriz Lima Almeida;31279757329;1993-05-11;F;SECULT
210;Tatiane Souza Gomes;88608680335;1981-02-14;F;SECAMI
211;Pedro Rocha Teixeira;26657027974;1973-02-11;M;SEMAD
212;Gabriela Araújo Souza;25922220659;1982-08-21;F;SEAPA
213;Daniel Barbosa Lima;39776719953;1955-08-04;M;GOIASTURISMO
214;Patrícia Oliveira Souza;16224999805;1970-12-01;F;SEMAD
215;Carlos Gomes Carvalho;86833901953;2002-06-15;M;SSP
216;Gabriela Moreira Barbosa;72934301087;1996-09-15;F;DGPP
217;Juliana Dias Rocha;50155699040;1970-10-04;F;FAPEG
218;Eduardo Dias Costa;95880395502;1960-12-09;M;SES
219;Bianca Souza Costa;61735743810;1982-02-14;F;SEDF
220;Letícia Ribeiro Rodrigues;18230768153;1955-05-15;F;SEAPA
221;Camila Almeida Ribeiro;48571422443;1965-04-08;F;CGE
222;Rafael Nascimento Ribeiro;87020701620;1959-10-29;M;SSP
223;Mariana Martins Costa;77332945681;1971-06-14;F;JUCEG
224;Bruno Santos Pereira;15814876905;1992-02-03;M;GOIASTURISMO
225;Pedro Cardoso Oliveira;97199758146;1994-12-10;M;SEDF
226;Thiago Rodrigues Ferreira;78469973355;1983-05-28;M;SEAPA
227;João Teixeira Carvalho;14036965603;1991-06-05;M;RETOMADA
228;João Oliveira Cardoso;02762126738;1993-03-11;M;SEDF
229;André Dias Gomes;68950097524;1965-02-25;M;SEDUC
230;Marcelo Moreira Teixeira;94905807751;2000-12-28;M;SGG
231;Amanda Ferreira Nascimento;04904712854;1961-11-23;F;SEINFRA
232;Rodrigo Ferreira Teixeira;05129276698;1976-05-07;M;SECAMI
233;Bianca Teixeira Lima;66742860448;1995-04-07;F;RETOMADA
234;Larissa Cardoso Lima;93852580013;1961-02-04;F;CGE
235;Daniel Moreira Santos;11926921283;1977-09-23;M;CASACIVIL
236;Rafael Gomes Ferreira;71739627148;1967-11-28;M;SEDS
237;Marcelo Moreira Silva;06425690887;1999-01-08;M;SGG
238;Ana Moreira Cardoso;15851743271;2004-09-29;F;SEAD
239;Rodrigo Araújo Oliveira;84787005014;1985-04-19;M;SEAD
240;Marina Nascimento Souza;32020417979;1970-04-25;F;SEDUC
241;Gustavo Almeida Souza;92511426293;1988-03-09;M;AGRODEFESA
242;André Moreira Rocha;46723248775;1991-12-19;M;GOIASTURISMO
243;Daniel Carvalho Rocha;83734031249;1997-07-24;M;GOINFRA
244;Felipe Teixeira Ferreira;20781137942;1984-03-30;M;SEEL
245;Ana Pereira Rodrigues;39726527392;1987-03-04;F;SEINFRA
246;Felipe Costa Moreira;29298316852;1998-11-21;M;SECOM
247;Fernando Souza Oliveira;78068671714;1999-06-08;M;GOIASTURISMO
248;Tatiane Rocha Nascimento;07726257008;1961-05-05;F;RETOMADA
249;Bruno Cardoso Carvalho;01657905551;1970-09-22;M;AGRODEFESA
250;Gabriela Cardoso Pereira;40155778846;1966-01-03;F;SGG
251;Carlos Ferreira Costa;12723804674;2003-07-29;M;DGPC
252;Larissa Rocha Dias;87749242490;1975-05-07;F;SGG
253;Pedro Lima Santos;05927452361;2005-06-18;M;SEAD
254;Marina Ribeiro Rodrigues;08854749290;2005-09-16;F;SECAMI
255;Gustavo Souza Moreira;39834301804;1994-12-18;M;SSP
256;Ana Costa Araújo;54781376770;1980-11-22;F;PM
257;Mariana Silva Martins;46287923210;1989-04-01;F;CASACIVIL
258;Mariana Moreira Costa;62730147101;1987-06-16;F;SEDUC
259;Larissa Rodrigues Araújo;20456504486;2002-07-07;F;DETRAN
260;Tatiane Rodrigues Silva;28457652150;1974-07-19;F;SES
261;Patrícia Costa Araújo;27985240160;1974-12-13;F;DGPC
262;Ana Almeida Santos;08907140103;1982-01-23;F;CGE
263;Eduardo Dias Moreira;38911908320;1972-03-08;M;CASACIVIL
264;Beatriz Almeida Teixeira;36151718291;1999-06-25;F;SIC
265;Bruno Pereira Costa;63175207120;1990-07-24;M;SECAMI
266;Mariana Lima Martins;74994657998;1991-04-14;F;GOINFRA
267;Rodrigo Cardoso Silva;26952499180;1961-11-12;M;DPE-GO
268;Marina Santos Pereira;75677002801;1982-03-10;F;PM
269;Bruno Souza Pereira;47969545033;1957-07-11;M;SEDUC
270;Lucas Lima Cardoso;49114152070;2003-04-21;M;SECTI
271;Thiago Barbosa Santos;35785294516;1994-02-11;M;FAPEG
272;Daniel Ribeiro Gomes;19876351400;2000-04-10;M;SEAPA
273;Daniel Barbosa Almeida;74896908384;1987-09-06;M;SEMAD
274;Fernando Lima Santos;23034778678;1992-11-10;M;SEAD
275;Tatiane Oliveira Martins;51623198135;2001-10-29;F;SEDUC
276;Carlos Ferreira Lima;47649078523;1965-02-18;M;SECTI
277;André Cardoso Lima;48645183781;1989-11-07;M;CGE
278;Larissa Pereira Ribeiro;61248156994;2004-02-20;F;SECTI
279;Lucas Dias Cardoso;29657724210;1984-05-22;M;CASACIVIL
280;Rodrigo Almeida Costa;20696942160;1988-01-04;M;PM
281;Fernanda Pereira Almeida;93436262072;1981-01-13;F;SERINT
282;Bianca Pereira Moreira;41180053796;1986-10-14;F;GOIASPREV
283;Rafael Ferreira Teixeira;75721586257;1978-05-12;M;DGPP
284;Bianca Barbosa Rodrigues;87032032044;1997-03-10;F;SERINT
285;Carlos Carvalho Oliveira;34228499392;1955-05-16;M;DPE-GO
286;Eduardo Ribeiro Rodrigues;01777490596;1958-12-07;M;SECAMI
287;Fernanda Lima Pereira;10326642153;1981-10-13;F;GOINFRA
288;Mariana Pereira Carvalho;92661085700;1975-02-12;F;SES
289;Bruno Pereira Costa;90810818612;1992-01-20;M;CBM
290;Ana Oliveira Martins;45977945221;1973-12-08;F;SEDF
291;Bianca Araújo Moreira;74995641262;1967-02-14;F;CGE
292;Rodrigo Pereira Silva;12277707902;1976-10-07;M;FAPEG
293;Beatriz Barbosa Teixeira;99730806969;1983-05-03;F;AGRODEFESA
294;Patrícia Martins Lima;83959724667;1992-05-25;F;SIC
295;Juliana Lima Almeida;80054522846;1957-11-13;F;DETRAN
296;André Souza Barbosa;71199180874;1964-06-16;M;PM
297;Rodrigo Pereira Silva;37548214588;1992-03-26;M;SIC
298;Ana Martins Rodrigues;08115562637;1960-07-07;F;SECULT
299;André Araújo Barbosa;38997563475;1962-07-24;M;SEAD
300;João Silva Rocha;94346810578;1978-04-21;M;EMATER
301;Gustavo Costa Ribeiro;92683158904;1972-04-10;M;SIC
302;Amanda Teixeira Dias;64976776239;1967-12-13;F;EMATER
303;Mariana Santos Araújo;94082154515;1982-03-17;F;CASACIVIL
304;Mariana Souza Martins;79497567995;1966-11-30;F;DGPC
305;Marcelo Martins Gomes;12094818128;1972-04-06;M;SEDS
306;Eduardo Rocha Martins;18956907064;1985-07-01;M;ABC
307;Letícia Oliveira Ferreira;46209520014;1981-09-26;F;RETOMADA
308;Mariana Gomes Souza;57861706320;1956-09-02;F;SEINFRA
309;Gabriela Ferreira Gomes;86870079498;1970-01-06;F;CGE
310;Mariana Araújo Santos;28463985505;1978-06-13;F;SECAMI
311;Fernando Teixeira Barbosa;68118071561;1988-10-07;M;GOIASPREV
312;Camila Oliveira Moreira;43375047967;1973-10-04;F;CGE
313;Daniel Rodrigues Oliveira;24938430886;1977-09-09;M;AGRODEFESA
314;Felipe Lima Souza;46875063565;1962-05-04;M;UEG
315;Daniel Moreira Ribeiro;43173505808;1976-03-28;M;DETRAN
316;Felipe Martins Souza;49611080492;1989-03-22;M;SECULT
317;Rodrigo Dias Ribeiro;93110919362;1966-04-21;M;EMATER
318;Juliana Rocha Teixeira;22749545005;2001-06-11;F;SEDUC
319;Camila Cardoso Barbosa;79599594630;1984-06-25;F;PM
320;Camila Araújo Ferreira;05015081200;1981-01-25;F;SECAMI
321;Pedro Almeida Silva;24102615318;1982-05-15;M;SEMAD
322;Patrícia Nascimento Pereira;30993842593;1977-03-05;F;ECONOMIA
323;Larissa Dias Martins;25587774910;1990-12-21;F;SEDUC
324;Gabriela Oliveira Ferreira;14785390700;2000-12-15;F;JUCEG
325;Gustavo Oliveira Ribeiro;88814311145;1987-04-27;M;SEAD
326;Tatiane Carvalho Pereira;69078263300;1973-10-30;F;SGG
327;Gustavo Rodrigues Nascimento;24075536670;1991-03-10;M;SEDS
328;Fernando Oliveira Rocha;63715974184;1970-05-19;M;CBM
329;Rodrigo Souza Araújo;80256621284;2003-02-16;M;SEEL
330;Bruno Cardoso Martins;43027169327;2002-03-06;M;JUCEG
331;Camila Ferreira Moreira;67629160313;1969-03-03;F;SEINFRA
332;Larissa Ferreira Costa;38070176580;1990-10-29;F;FAPEG
333;Fernanda Barbosa Gomes;22091241822;1990-01-24;F;PM
334;Fernando Costa Barbosa;09006335304;1972-12-10;M;SSP
335;Patrícia Teixeira Cardoso;39386613301;1964-07-01;F;AGR
336;Felipe Almeida Martins;49718924191;1984-02-06;M;RETOMADA
337;Bruno Rocha Silva;30914363905;1962-02-14;M;ECONOMIA
338;Carolina Souza Teixeira;64035533807;1959-11-07;F;GOIASTURISMO
339;Lucas Rodrigues Oliveira;29833816762;1982-12-11;M;PM
340;Gustavo Araújo Pereira;27768962710;1956-10-11;M;RETOMADA
341;Gabriela Nascimento Barbosa;15273230055;1999-12-02;F;SIC
342;Lucas Pereira Gomes;58750663348;1997-11-10;M;SEAD
343;Carlos Oliveira Cardoso;66918362607;1977-09-08;M;SEAPA
344;Pedro Barbosa Silva;11686462271;1988-08-11;M;SEDF
345;Rafael Pereira Barbosa;91214161413;1960-10-06;M;JUCEG
346;Fernando Nascimento Dias;47759655576;1983-04-13;M;GOIASTURISMO
347;Eduardo Dias Gomes;35797863006;1983-11-27;M;PGE
348;André Araújo Costa;93289802752;1962-10-24;M;SEAPA
349;Carlos Pereira Silva;25643471264;2002-12-15;M;GOINFRA
350;Rafael Oliveira Rodrigues;15931952578;1989-02-09;M;UEG
351;Carlos Araújo Silva;87524377282;1980-06-04;M;SES
352;Thiago Ribeiro Rodrigues;33027642006;2004-02-27;M;SECULT
353;Letícia Rocha Souza;47292774229;1973-10-26;F;SECOM
354;João Santos Teixeira;59626301309;1990-08-02;M;GOINFRA
355;Rodrigo Moreira Dias;30999741969;1971-04-01;M;RETOMADA
356;Mariana Dias Nascimento;81312920882;1995-02-14;F;SECTI
357;Fernando Cardoso Silva;34084872946;1998-12-31;M;SECTI
358;Daniel Carvalho Gomes;29618446220;1990-11-22;M;SEMAD
359;Gustavo Pereira Araújo;09314181863;1991-06-30;M;DETRAN
360;Pedro Dias Costa;97185948410;1963-11-21;M;ECONOMIA
361;Marcelo Rodrigues Ferreira;69405396706;1971-06-05;M;SECAMI
362;Marcelo Oliveira Santos;31290148708;1955-12-17;M;ABC
363;Camila Cardoso Dias;90972832130;1987-12-06;F;DGPC
364;Juliana Gomes Almeida;09634807909;1998-10-21;F;ECONOMIA
365;Camila Oliveira Teixeira;82617024300;1997-03-24;F;SECULT
366;Gustavo Almeida Santos;34026650260;1972-11-07;M;SGG
367;Pedro Rodrigues Araújo;80305690680;1998-01-29;M;CASACIVIL
368;Camila Barbosa Santos;89239231250;1991-01-01;F;SEAD
369;Lucas Ribeiro Martins;70860414590;1980-03-03;M;AGR
370;Fernando Ferreira Costa;75541108292;1984-09-18;M;SIC
371;João Rocha Cardoso;33711895468;1997-07-17;M;FAPEG
372;Felipe Pereira Oliveira;76880294227;1980-12-26;M;SEAD
373;Amanda Gomes Almeida;20293908796;2000-03-14;F;DPE-GO
374;Felipe Gomes Rodrigues;40338105956;1988-02-12;M;SECTI
375;Rafael Silva Rocha;91649837305;1984-02-03;M;SEINFRA
376;Lucas Rocha Barbosa;24042269320;1961-03-25;M;SES
377;Thiago Moreira Souza;23142900110;2003-08-29;M;JUCEG
378;Carolina Teixeira Santos;00184186277;1955-02-09;F;VICEGOV
379;Patrícia Oliveira Moreira;51510922601;2002-08-04;F;JUCEG
380;Eduardo Rodrigues Cardoso;25267711969;1993-05-07;M;SEINFRA
381;Fernanda Moreira Lima;66878878829;1975-08-24;F;RETOMADA
382;Felipe Santos Souza;55247286367;1973-11-27;M;VICEGOV
383;João Rodrigues Araújo;21310962243;1997-02-22;M;DGPC
384;João Araújo Martins;78498436222;1979-05-22;M;SSP
385;Patrícia Moreira Cardoso;66205634147;1964-05-13;F;DETRAN
386;Bruno Almeida Cardoso;03419909730;1959-02-05;M;ECONOMIA
387;Gustavo Pereira Teixeira;18209679058;1981-01-10;M;PM
388;Letícia Rodrigues Carvalho;45960633973;1961-09-23;F;SES
389;Carlos Gomes Nascimento;55112747471;1994-08-28;M;DGPC
390;Mariana Cardoso Pereira;87409038004;1968-11-12;F;CBM
391;Pedro Santos Pereira;63651559726;1974-01-28;M;SGG
392;Felipe Carvalho Martins;73030644278;1962-07-02;M;SES
393;Fernanda Almeida Araújo;67782659655;1955-11-22;F;AGRODEFESA
394;Thiago Cardoso Pereira;48072791060;1974-08-12;M;FAPEG
395;Marina Costa Teixeira;17766558696;2001-12-08;F;JUCEG
396;Carolina Costa Moreira;11110961715;2003-11-14;F;CBM
397;Letícia Martins Pereira;60538444460;1992-03-16;F;GOIASTURISMO
